0, daa 0, flags 246
1, daa 1, flags 202
2, daa 2, flags 202
3, daa 3, flags 206
4, daa 4, flags 202
5, daa 5, flags 206
6, daa 6, flags 206
7, daa 7, flags 202
8, daa 8, flags 202
9, daa 9, flags 206
a, daa 10, flags 212
b, daa 11, flags 216
c, daa 12, flags 216
d, daa 13, flags 212
e, daa 14, flags 216
f, daa 15, flags 212
10, daa 10, flags 202
11, daa 11, flags 206
12, daa 12, flags 206
13, daa 13, flags 202
14, daa 14, flags 206
15, daa 15, flags 202
16, daa 16, flags 202
17, daa 17, flags 206
18, daa 18, flags 206
19, daa 19, flags 202
1a, daa 20, flags 212
1b, daa 21, flags 216
1c, daa 22, flags 216
1d, daa 23, flags 212
1e, daa 24, flags 216
1f, daa 25, flags 212
20, daa 20, flags 202
21, daa 21, flags 206
22, daa 22, flags 206
23, daa 23, flags 202
24, daa 24, flags 206
25, daa 25, flags 202
26, daa 26, flags 202
27, daa 27, flags 206
28, daa 28, flags 206
29, daa 29, flags 202
2a, daa 30, flags 216
2b, daa 31, flags 212
2c, daa 32, flags 212
2d, daa 33, flags 216
2e, daa 34, flags 212
2f, daa 35, flags 216
30, daa 30, flags 206
31, daa 31, flags 202
32, daa 32, flags 202
33, daa 33, flags 206
34, daa 34, flags 202
35, daa 35, flags 206
36, daa 36, flags 206
37, daa 37, flags 202
38, daa 38, flags 202
39, daa 39, flags 206
3a, daa 40, flags 212
3b, daa 41, flags 216
3c, daa 42, flags 216
3d, daa 43, flags 212
3e, daa 44, flags 216
3f, daa 45, flags 212
40, daa 40, flags 202
41, daa 41, flags 206
42, daa 42, flags 206
43, daa 43, flags 202
44, daa 44, flags 206
45, daa 45, flags 202
46, daa 46, flags 202
47, daa 47, flags 206
48, daa 48, flags 206
49, daa 49, flags 202
4a, daa 50, flags 216
4b, daa 51, flags 212
4c, daa 52, flags 212
4d, daa 53, flags 216
4e, daa 54, flags 212
4f, daa 55, flags 216
50, daa 50, flags 206
51, daa 51, flags 202
52, daa 52, flags 202
53, daa 53, flags 206
54, daa 54, flags 202
55, daa 55, flags 206
56, daa 56, flags 206
57, daa 57, flags 202
58, daa 58, flags 202
59, daa 59, flags 206
5a, daa 60, flags 216
5b, daa 61, flags 212
5c, daa 62, flags 212
5d, daa 63, flags 216
5e, daa 64, flags 212
5f, daa 65, flags 216
60, daa 60, flags 206
61, daa 61, flags 202
62, daa 62, flags 202
63, daa 63, flags 206
64, daa 64, flags 202
65, daa 65, flags 206
66, daa 66, flags 206
67, daa 67, flags 202
68, daa 68, flags 202
69, daa 69, flags 206
6a, daa 70, flags 212
6b, daa 71, flags 216
6c, daa 72, flags 216
